股票id	股票名	价格	涨跌幅(%)	换手率(%)	市盈率	市净率	行业板块	社保基金	社保基金数	公告日期	送股	转股	派息	除权日	登记日
600111	北方稀土	24.12	-2.55	0.94	16.31	4.20	稀土	[]	0	2023-04-22	0	0	1.7	--	--
600112	ST天成	3.34	+0.30	0.55	--	24.67	中压设备	[]	0	2023-04-29	0	0	0	--	--
600113	浙江东日	7.53	+0.53	0.97	22.02	1.41	专业市场	[]	0	2023-03-11	0	0	1.2	--	--
600114	东睦股份	7.38	-3.40	1.88	27.05	1.80	金属新材料	[]	0	2023-04-27	0	0	1	--	--
600115	中国东航	5.08	+0.20	0.31	--	4.49	航空运输	[]	0	2023-03-31	0	0	0	--	--
600116	三峡水利	9.14	-0.11	0.39	40.84	1.59	水电	['全国社保基金五零三组合']	1	2023-04-20	0	0	1.5	--	--
600117	*ST西钢	2.85	-5.00	1.65	--	--	特钢	[]	0	2023-04-29	0	0	0	--	--
600118	中国卫星	26.12	-2.39	1.53	109.17	4.90	航天装备	[]	0	2023-03-31	0	0	0.75	--	--
600119	长江投资	6.13	-0.33	0.56	--	11.59	物流	[]	0	2023-04-25	0	0	0	--	--
600120	浙江东方	4.09	+0.25	1.00	12.47	0.88	多元金融	[]	0	2023-04-08	0	0	0.79	--	--
600121	郑州煤电	4.54	-0.66	0.75	67.18	3.20	煤炭开采	[]	0	2023-04-11	0	0	0	--	--
600122	*ST宏图	0.81	-4.71	0.11	--	--	专业连锁	[]	0	2023-04-29	0	0	0	--	--
600123	兰花科创	12.61	-0.55	0.65	4.61	0.88	煤炭开采	[]	0	2023-04-25	3	0	10	--	--
600125	铁龙物流	6.60	+1.54	5.40	22.38	1.26	铁路运输	[]	0	2023-04-07	0	0	0.8	--	--
600126	杭钢股份	4.77	-1.45	0.31	133.28	0.80	普钢	['全国社保基金四一三组合']	1	2023-04-15	0	0	0.5	--	--
600127	金健米业	7.46	-0.80	0.95	--	7.10	粮油加工	[]	0	2023-03-31	0	0	0	--	--
600128	弘业股份	8.26	-0.12	1.29	50.69	0.97	综合	[]	0	2023-04-25	0	0	1	--	--
600129	太极集团	54.86	+0.98	2.26	54.25	9.28	中药	['全国社保基金一零八组合']	1	2023-03-31	0	0	0	--	--
600130	波导股份	4.06	-1.22	1.18	180.76	3.11	终端设备	[]	0	2023-04-29	0	0	0	--	--
600131	国网信通	18.64	+0.49	0.81	27.19	3.86	水电	[]	0	2023-04-27	0	0	2	--	--
