股票id	股票名	价格	涨跌幅(%)	换手率(%)	市盈率	市净率	行业板块	社保基金	社保基金数	公告日期	送股	转股	派息	除权日	登记日
300078	思创医惠	5.02	+3.51	2.57	--	4.27	IT服务	['全国社保基金一一八组合']	1	2023-04-28	0	0	0	--	--
300079	数码视讯	6.57	+0.77	5.20	79.56	2.24	IT服务	[]	0	2023-04-12	0	0	0.1	--	--
300080	易成新能	5.10	-2.49	2.07	22.06	1.90	磨具磨料	[]	0	2023-03-31	0	0	0	--	--
300081	恒信东方	7.80	-0.38	6.06	--	2.60	通信配套服务	[]	0	2023-04-28	0	0	0	--	--
300082	奥克股份	8.03	-1.71	0.41	--	1.71	其他化学制品	[]	0	2023-04-19	0	0	0	--	--
300083	创世纪	6.63	-3.07	1.92	38.46	2.33	电子零部件制造	['全国社保基金一一八组合']	1	2023-04-26	0	0	0	--	--
300084	海默科技	6.10	-0.97	1.62	234.47	2.34	冶金矿采化工设备	[]	0	2023-04-12	0	0	0	--	--
300085	银之杰	14.51	+2.04	14.75	--	12.97	软件开发	[]	0	2023-04-19	0	0	0	--	--
300086	康芝药业	6.16	-1.75	2.38	--	2.08	化学制剂	[]	0	2023-04-24	0	0	0	--	--
300087	荃银高科	10.92	-0.36	1.04	42.36	4.22	种子生产	[]	0	2023-04-26	0	4	1	2023-05-05	2023-05-04
300088	长信科技	6.06	-0.98	1.15	24.69	1.79	显示器件	['全国社保基金四一三组合']	1	2023-04-15	0	0	1	--	--
300089	*ST文化			0.00	--	--	其他文化传媒	[]	0	2023-04-29	0	0	0	--	--
300091	金通灵	3.13	-2.49	1.28	--	1.95	其它通用机械	[]	0	2023-04-28	0	0	0	--	--
300092	科新机电	15.30	-2.42	2.76	31.56	2.87	机械基础件	[]	0	2023-03-31	0	0	2	--	--
300093	金刚光伏	31.35	-2.18	0.97	--	--	玻璃制造	[]	0	2023-04-25	0	0	0	--	--
300094	国联水产	5.09	-1.36	1.56	--	1.84	水产养殖	['全国社保基金一零七组合']	1	2023-04-29	0	0	0	--	--
300095	华伍股份	8.99	-0.33	0.80	49.30	1.74	机械设备	[]	0	2023-04-24	0	0	0.6	--	--
300096	易联众	6.60	+4.10	6.00	--	10.30	IT服务	[]	0	2023-04-27	0	0	0	--	--
